,Code INSEE région,Région,Nature,Date,Heure,Date - Heure,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),TCO Thermique (%),TCH Thermique (%),TCO Nucléaire (%),TCH Nucléaire (%),TCO Eolien (%),TCH Eolien (%),TCO Solaire (%),TCH Solaire (%),TCO Hydraulique (%),TCH Hydraulique (%),TCO Bioénergies (%),TCH Bioénergies (%),Column 26
0,27,Bourgogne-Franche-Comté,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
1,76,Occitanie,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
2,28,Normandie,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
3,24,Centre-Val de Loire,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
4,52,Pays de la Loire,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
5,44,Grand Est,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
6,75,Nouvelle-Aquitaine,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
7,53,Bretagne,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
8,84,Auvergne-Rhône-Alpes,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
9,11,Île-de-France,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
10,32,Hauts-de-France,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
11,93,Provence-Alpes-Côte d'Azur,Données définitives,2013-01-01,00:00,2013-01-01T00:00:00+01:00,,,0.0,,,,0.0,,,,,,,,,,,,,,,
12,75,Nouvelle-Aquitaine,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,5464.0,240.0,4993.0,175.0,0.0,427.0,0.0,142.0,-518.0,,,,,,,,,,,,,
13,52,Pays de la Loire,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,3595.0,127.0,0.0,182.0,0.0,0.0,0.0,32.0,3252.0,,,,,,,,,,,,,
14,44,Grand Est,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,4943.0,319.0,9137.0,1109.0,0.0,1418.0,0.0,57.0,-7102.0,,,,,,,,,,,,,
15,27,Bourgogne-Franche-Comté,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,2357.0,236.0,0.0,106.0,0.0,105.0,0.0,12.0,1894.0,,,,,,,,,,,,,
16,11,Île-de-France,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,9134.0,685.0,0.0,16.0,0.0,0.0,0.0,142.0,8289.0,,,,,,,,,,,,,
17,76,Occitanie,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,5228.0,78.0,2497.0,367.0,0.0,943.0,-13.0,81.0,1273.0,,,,,,,,,,,,,
18,84,Auvergne-Rhône-Alpes,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,8173.0,252.0,12069.0,257.0,0.0,3079.0,-4.0,68.0,-7551.0,,,,,,,,,,,,,
19,53,Bretagne,Données définitives,2013-01-01,00:30,2013-01-01T00:30:00+01:00,3050.0,58.0,0.0,107.0,0.0,86.0,-1.0,20.0,2779.0,,,,,,,,,,,,,
