,Date,Code INSEE région,Région,TMin (°C),TMax (°C),TMoy (°C)
0,2016-01-01,24,Centre-Val de Loire,1.52,10.73,6.12
1,2016-01-01,11,Île-de-France,3.3,8.76,6.03
2,2016-01-01,75,Nouvelle-Aquitaine,3.32,13.58,8.45
3,2016-01-01,93,Provence-Alpes-Côte d'Azur,5.3,12.77,9.03
4,2016-01-02,24,Centre-Val de Loire,6.92,11.22,9.07
5,2016-01-02,28,Normandie,7.28,10.06,8.67
6,2016-01-02,53,Bretagne,7.32,10.95,9.14
7,2016-01-02,76,Occitanie,6.98,11.02,9.0
8,2016-01-03,93,Provence-Alpes-Côte d'Azur,4.03,9.58,6.81
9,2016-01-03,76,Occitanie,3.88,11.16,7.52
10,2016-01-04,53,Bretagne,6.48,11.2,8.84
11,2016-01-04,76,Occitanie,7.04,10.97,9.0
12,2016-01-05,24,Centre-Val de Loire,5.23,9.13,7.18
13,2016-01-05,28,Normandie,5.36,9.38,7.37
14,2016-01-06,94,Corse,7.2,14.85,11.02
15,2016-01-06,84,Auvergne-Rhône-Alpes,2.52,7.78,5.15
16,2016-01-06,76,Occitanie,3.86,10.38,7.12
17,2016-01-06,28,Normandie,5.62,9.6,7.61
18,2016-01-06,53,Bretagne,5.6,12.7,9.15
19,2016-01-07,76,Occitanie,5.65,15.66,10.65
