annee,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),Année
2013,984134263.0,87265040.0,806802087.0,31665608.0,9008891.0,149129252.0,-14366288.0,12227527.0,-98246706.0,2013
2014,924697156.0,49924365.0,831008785.0,34116918.0,11639659.0,134720263.0,-15980203.0,15020879.0,-135740875.0,2014
2015,946305720.0,66714884.0,832908808.0,42188171.0,14572733.0,117039522.0,-13776932.0,15832717.0,-129170409.0,2015
2016,960630996.0,88787737.0,767408645.0,41835426.0,16521789.0,126717599.0,-13498506.0,17423013.0,-84558615.0,2016
2017,958089446.0,105507116.0,757772631.0,48194982.0,17987913.0,106026436.0,-14314962.0,18877342.0,-81957709.0,2017
2018,951041999.0,75986264.0,785967028.0,56261568.0,21166093.0,134815101.0,-14797445.0,19092161.0,-127454269.0,2018
2019,940954352.0,82152897.0,758459526.0,67631922.0,24204370.0,119002296.0,-12864508.0,19321315.0,-116957587.0,2019
2020,893165536.0,73543103.0,670460374.0,79400565.0,24925055.0,129611835.0,-12525881.0,19357548.0,-91529600.0,2020
2021,836066934.0,63973035.0,658052510.0,63321340.0,26878868.0,111736790.0,-10378432.0,17601169.0,-95023830.0,2021
