Région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),Region
Centre-Val de Loire,334958775.0,6129453.0,1300564139.0,37872033.0,5460453.0,2118047.0,0.0,8076374.0,-1025300698.0,Centre-Val de Loire
Bourgogne-Franche-Comté,379672345.0,12976136.0,0.0,19809870.0,4942722.0,14951273.0,-479819.0,4167494.0,323262204.0,Bourgogne-Franche-Comté
Bretagne,397292809.0,11679711.0,0.0,30276511.0,3869245.0,10329414.0,-1049782.0,6132032.0,336022992.0,Bretagne
Pays de la Loire,480995959.0,79364997.0,0.0,27558458.0,9202374.0,318008.0,0.0,6830757.0,357735714.0,Pays de la Loire
Normandie,497492476.0,68716116.0,1060728690.0,25239673.0,2644958.0,2193883.0,0.0,8304353.0,-670396431.0,Normandie
Occitanie,665383830.0,5075848.0,307744302.0,52442576.0,36314594.0,203904823.0,-34357180.0,12707121.0,81572063.0,Occitanie
Provence-Alpes-Côte d'Azur,727992829.0,116839938.0,0.0,2054523.0,26971959.0,176541529.0,-737568.0,14368931.0,391924839.0,Provence-Alpes-Côte d'Azur
Nouvelle-Aquitaine,770899052.0,15452232.0,755650556.0,25903645.0,44071912.0,65464373.0,0.0,25342827.0,-161072044.0,Nouvelle-Aquitaine
Grand Est,810215662.0,159641908.0,1369226560.0,105364225.0,11612835.0,148603942.0,-17120352.0,14495743.0,-981684048.0,Grand Est
Hauts-de-France,900517554.0,142667699.0,593032048.0,118536154.0,2758302.0,223918.0,0.0,16723675.0,26500706.0,Hauts-de-France
Auvergne-Rhône-Alpes,1172779766.0,35394141.0,1481894099.0,17399686.0,17432752.0,503247078.0,-68758456.0,16355390.0,-830233096.0,Auvergne-Rhône-Alpes
Île-de-France,1256885345.0,39916262.0,0.0,2159146.0,1623265.0,902806.0,0.0,21248974.0,1191028199.0,Île-de-France
